"","ZIP","latitude","longitude"
"309",1515,42.209682,-72.040178
"310",1516,42.053072,-71.752241
"311",1518,42.127477,-72.118818
"312",1519,42.203404,-71.679739
"313",1520,42.336385,-71.850759
"314",1521,42.046783,-72.180212
"315",1522,42.375634,-71.867382
"316",1523,42.483569,-71.675585
"317",1524,42.249636,-71.919248
"318",1525,42.106794,-71.630518
"319",1527,42.192246,-71.777649
"320",1529,42.036642,-71.578779
"321",1531,42.326183,-72.133431
"322",1532,42.323342,-71.646236
"323",1534,42.142074,-71.643348
"324",1535,42.267564,-72.066876
"325",1536,42.231309,-71.692642
"326",1537,42.158966,-71.897051
"327",1540,42.116263,-71.857465
"328",1541,42.454125,-71.87754
"329",1542,42.204251,-71.908907
"330",1543,42.388285,-71.969865
"331",1545,42.284767,-71.714228
"332",1550,42.059737,-72.033908
"333",1560,42.175395,-71.674223
"334",1561,42.44397,-71.685583
"335",1562,42.247211,-71.991867
"336",1564,42.447924,-71.776045
"337",1566,42.103214,-72.079545
"338",1568,42.176526,-71.603588
"339",1569,42.055921,-71.631128
"340",1570,42.047532,-71.846952
"341",1571,42.053778,-71.935075
"342",1581,42.268426,-71.613309
"343",1583,42.369417,-71.785036
"344",1585,42.240796,-72.162645
"345",1588,42.1188,-71.672496
"346",1590,42.132051,-71.750318
"347",1602,42.269189,-71.850728
"348",1603,42.243826,-71.843569
"349",1604,42.253485,-71.767932
"350",1605,42.289683,-71.787793
"351",1606,42.315249,-71.795741
"352",1607,42.225974,-71.788894
"353",1608,42.26198,-71.801462
"354",1609,42.285114,-71.829987
"355",1610,42.247049,-71.808366
"356",1611,42.237604,-71.875838
"357",1612,42.296798,-71.928991
"358",1701,42.319587,-71.4428
"359",1702,42.282379,-71.436623
"360",1718,42.519818,-71.429286
"361",1719,42.485985,-71.520985
"362",1720,42.483953,-71.438495
"363",1721,42.257755,-71.473526
"364",1730,42.499332,-71.281901
"365",1731,42.456754,-71.279477
"366",1740,42.439933,-71.601885
"367",1741,42.536807,-71.361324
"368",1742,42.462911,-71.364496
"369",1745,42.292114,-71.499197
"370",1746,42.195951,-71.45343
"371",1747,42.123007,-71.531404
"372",1748,42.224096,-71.540489
"373",1749,42.389071,-71.545864
"374",1752,42.349617,-71.547214
"375",1754,42.425955,-71.456256
"376",1756,42.09387,-71.544519
"377",1757,42.158692,-71.521419
"378",1760,42.284822,-71.348811
"379",1770,42.231947,-71.372963
"380",1772,42.302877,-71.530828
"381",1773,42.425506,-71.310812
"382",1775,42.429688,-71.512514
"383",1776,42.383367,-71.42107
"384",1778,42.356275,-71.361942
"385",1801,42.488703,-71.154383
"386",1803,42.503227,-71.201713
"387",1810,42.648044,-71.161751
"388",1821,42.54933,-71.251725
"389",1824,42.59079,-71.355182
"390",1826,42.679723,-71.30068
"391",1827,42.676149,-71.499772
"392",1830,42.796313,-71.053436
"393",1832,42.791114,-71.132859
"394",1833,42.726226,-70.983318
"395",1834,42.7539,-71.015935
"396",1835,42.751327,-71.094421
"397",1840,42.706763,-71.160403
"398",1841,42.712015,-71.164873
"399",1843,42.689988,-71.16039
"400",1844,42.742641,-71.178651
"401",1845,42.673909,-71.091334
"402",1850,42.656045,-71.303309
"403",1851,42.627813,-71.335334
"404",1852,42.632978,-71.295616
"405",1854,42.649481,-71.348229
"406",1860,42.838603,-71.011997
"407",1862,42.578543,-71.295592
"408",1863,42.63378,-71.38947
"409",1864,42.578401,-71.084448
"410",1867,42.535183,-71.105423
"411",1876,42.611801,-71.227571
"412",1879,42.667762,-71.42882
"413",1880,42.501524,-71.067489
"414",1886,42.585541,-71.44025
"415",1887,42.564647,-71.164516
"416",1890,42.452752,-71.144319
"417",1901,42.460419,-70.946379
"418",1902,42.471039,-70.941535
"419",1904,42.492456,-70.97393
"420",1905,42.465998,-70.975792
"421",1906,42.468432,-71.013946
"422",1907,42.474145,-70.906597
"423",1908,42.428256,-70.926041
"424",1913,42.851293,-70.95581
"425",1915,42.570665,-70.867583
"426",1921,42.683108,-71.027188
"427",1922,42.757313,-70.914241
"428",1923,42.574174,-70.950516
"429",1929,42.64042,-70.771172
"430",1930,42.61991,-70.681824
"431",1937,42.585723,-70.984051
"432",1938,42.68386,-70.842666
"433",1940,42.534146,-71.038333
"434",1944,42.576636,-70.767154
"435",1945,42.501565,-70.858834
"436",1949,42.606666,-71.010316
"437",1950,42.812358,-70.891095
"438",1951,42.773351,-70.850211
"439",1952,42.844794,-70.841499
"440",1960,42.534279,-70.969782
"441",1966,42.640699,-70.62025
"442",1969,42.720873,-70.89122
"443",1970,42.524435,-70.870859
"444",1982,42.626223,-70.85723
"445",1983,42.641387,-70.943383
"446",1984,42.600668,-70.88326
"447",1985,42.799565,-70.964428
"448",2019,42.076682,-71.47449
"449",2021,42.175737,-71.125385
"450",2025,42.236444,-70.814309
"451",2026,42.246872,-71.179462
"452",2030,42.23416,-71.291167
"453",2032,42.156882,-71.216187
"454",2035,42.061338,-71.245802
"455",2038,42.084858,-71.410571
"456",2043,42.216098,-70.88127
"457",2045,42.292253,-70.923919
"458",2047,42.133914,-70.686037
"459",2048,42.017302,-71.21642
"460",2050,42.115139,-70.710331
"461",2052,42.184599,-71.305307
"462",2053,42.156203,-71.430345
